# OpenSignals Text File Format. Version 1
# {"EC:1B:BD:62:D1:5E": {"position": 0, "device": "bitalino_rev", "device name": "EC:1B:BD:62:D1:5E", "device connection": "BTHEC:1B:BD:62:D1:5E", "sampling rate": 100, "resolution": [4, 1, 1, 1, 1, 10, 10, 10], "firmware version": 1282, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2023-12-6", "time": "15:51:37.690", "channels": [2, 3, 5], "sensor": ["ECGBIT", "EDABITREV", "ACCBITREV"], "label": ["A2", "A3", "A5"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A2", "A3", "A5"], "special": [{}, {}, {}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
0	0	0	0	0	549	668	429	
1	0	0	0	0	595	667	429	
2	0	0	0	0	653	668	429	
3	0	0	0	0	490	668	428	
4	0	0	0	0	391	667	428	
5	0	0	0	0	393	666	430	
6	0	0	0	0	478	666	429	
7	0	0	0	0	522	666	429	
8	0	0	0	0	524	666	429	
9	0	0	0	0	519	666	429	
10	0	0	0	0	529	666	430	
11	0	0	0	0	535	666	430	
12	0	0	0	0	535	665	430	
13	0	0	0	0	531	665	430	
14	0	0	0	0	529	665	430	
15	0	0	0	0	533	665	428	
0	0	0	0	0	535	665	427	
1	0	0	0	0	538	665	429	
2	0	0	0	0	537	665	428	
3	0	0	0	0	550	665	428	
4	0	0	0	0	550	665	426	
5	0	0	0	0	561	665	428	
6	0	0	0	0	575	665	429	
7	0	0	0	0	561	665	429	
8	0	0	0	0	553	665	428	
9	0	0	0	0	542	665	430	
10	0	0	0	0	522	665	429	
11	0	0	0	0	498	664	430	
12	0	0	0	0	476	664	428	
13	0	0	0	0	468	664	429	
14	0	0	0	0	456	664	430	
15	0	0	0	0	457	664	428	
0	0	0	0	0	464	664	428	
1	0	0	0	0	472	664	429	
2	0	0	0	0	477	663	430	
3	0	0	0	0	475	663	429	
4	0	0	0	0	484	663	429	
5	0	0	0	0	493	663	428	
6	0	0	0	0	495	662	430	
7	0	0	0	0	504	662	429	
8	0	0	0	0	491	662	429	
9	0	0	0	0	494	662	430	
10	0	0	0	0	503	662	429	
11	0	0	0	0	505	662	428	
12	0	0	0	0	505	661	430	
13	0	0	0	0	505	661	430	
14	0	0	0	0	507	661	430	
15	0	0	0	0	520	661	428	
0	0	0	0	0	505	660	429	
1	0	0	0	0	501	661	429	
2	0	0	0	0	518	661	430	
3	0	0	0	0	516	660	428	
4	0	0	0	0	515	660	428	
5	0	0	0	0	516	660	430	
6	0	0	0	0	519	660	430	
7	0	0	0	0	511	660	428	
8	0	0	0	0	521	660	428	
9	0	0	0	0	528	659	428	
